img;id;x;y;area;area_ch;perimeter;radius_mean;radius_min;radius_max;radius_sd;diam_mean;diam_min;diam_max;major_axis;minor_axis;caliper;length;width;radius_ratio;theta;eccentricity;form_factor;narrow_factor;asp_ratio;rectangularity;pd_ratio;plw_ratio;solidity;convexity;elongation;circularity;circularity_haralick;circularity_norm;coverage;asm;con;cor;var;idm;sav;sva;sen;ent;dva;den;f12;f13;DGCI;A2;A3;A4;A5;A6;A7;A8;B2;B3;B4;B5;B6;B7;B8;C2;C3;C4;C5;C6;C7;C8;D1;D2;D3;D4;D5;D6;D7;D8
E12_2097;1;874.468246;513.4631936;492012;517030;3320.041989;436.2416039;236.936912;710.1028554;141.1717036;872.4832077;473.8738241;1420.205711;413.5444375;198.0159767;1355.605031;1356.05677;594.0661206;2.997012366;-0.067017746;0.877909631;0.560916747;0.999666873;2.282669763;1.637332798;2.449121915;1.702478344;0.951612092;0.935143897;0.561916482;22.4032723;3.090149036;0.559259119;0.25625625;0.014714088;3.949220246;0.940541729;34.21001573;0.525855564;15.86629883;333.6423863;1.55715687;2.104826729;3.949220246;0.67185147;0.34454905;0.7639498;0.396834997;0.012175433;-0.088819418;0.025529274;-0.0273273;0.011126496;-0.012618879;0.00700428;-0.006391776;-0.00031064;-0.005351383;-0.001363654;-0.001333298;0.000734202;-0.00122795;0.018436418;0.001862615;-0.001681038;-0.004867776;-0.00120136;-0.001624383;0.002956264;0.455696177;0.132571711;0.015624584;0.008625248;0.002167506;-0.003099205;0.000786735;0.000682005
E12_2098;1;884.6573774;524.9084981;574402;582496.5;3426.326261;458.829085;270.3620476;726.8810477;137.4653297;917.65817;540.7240952;1453.762095;426.1836113;218.5911367;1386;1385.407276;628.6045597;2.68854691;0.044985634;0.858446171;0.614848868;1.000427834;2.203940863;1.516139099;2.472096869;1.701244352;0.986103779;0.9320715;0.546267317;20.43814549;3.337780412;0.613240033;0.299167708;0.040732039;6.672996052;0.929572377;48.37484948;0.505519192;17.85892444;448.9344798;1.546105002;2.139965662;6.672996052;0.770195735;0.327648605;0.753427863;0.450262748;-0.011524078;0.081158614;-0.023511515;0.023696638;-0.011494101;0.012589988;-0.006503837;0.005320549;0.001079656;-0.000307771;0.001642724;0.000701277;0.001544562;0.000579312;0.002471063;-0.006936087;0.002506835;-0.001840871;0.001552236;-4.43E-05;0.000549517;-0.490428123;-0.10851906;-0.025342177;-0.00625407;-0.001182058;0.000822284;-0.002945573;0.002789514
E12_2099;1;946.1675016;505.1657035;553638;570059;3588.995308;468.4021642;226.3982486;777.0811133;161.8791924;936.8043283;452.7964973;1554.162227;453.1334474;200.6669582;1500.212318;1505.291328;588.7133256;3.432363624;-0.110575977;0.896599192;0.540119646;0.996625896;2.55691737;1.600657946;2.392324916;1.713938554;0.97119421;0.930388969;0.608904061;23.26590177;2.893529164;0.538580664;0.288353125;0.026395042;1.617121511;0.93775369;13.98969788;0.633359907;23.48486189;538.4526064;1.391629067;1.783185582;1.617121511;0.515102629;0.380183284;0.753030774;0.478277581;0.005876817;-0.090610835;0.016490872;-0.030222829;0.008310117;-0.014311685;0.005237559;-0.002875965;0.002422768;-0.010521403;0.000220755;-0.00428455;0.001724298;-0.002627458;0.038035088;-0.005982958;0.004315627;-0.002816012;-0.000164919;-0.00117144;-0.00108396;0.420540713;0.108538906;0.018888628;0.009460237;0.001821937;0.000474952;0.00204804;0.000869009
E12_2100;1;937.8423425;509.8955752;558556;570625.5;3540.385135;464.8437059;248.8119681;765.676321;158.4100894;929.6874119;497.6239361;1531.352642;447.1676447;202.9938487;1474.102439;1475.462081;584.8032433;3.077329145;-0.049223798;0.89102477;0.559983935;0.999078497;2.523005983;1.544795886;2.401722596;1.718412232;0.978848649;0.93334065;0.603647393;22.44059129;2.934432445;0.558414934;0.290914583;0.017249548;2.216858551;0.937976966;18.87125215;0.594909995;23.38745436;548.6672004;1.49227109;1.945642547;2.216858551;0.569133658;0.379020355;0.772965198;0.49195959;0.008391617;-0.089133579;0.020721177;-0.026636608;0.009418162;-0.013096383;0.005293621;0.006573966;0.000339867;0.003631468;-0.001974517;0.003130351;-1.79E-05;0.001678599;-0.006960809;0.002742711;-0.003967838;0.001452397;0.001504626;-4.79E-05;-0.001138013;0.43055935;0.109797607;0.027348194;0.009429568;0.004465517;-0.002232598;0.001151097;-0.000485674
E12_2101;1;925.2365205;522.0417753;551907;568161.5;3517.27958;460.6690783;234.7949892;749.5154017;152.2787638;921.3381566;469.5899783;1499.030803;438.2742218;208.1177123;1438.136642;1439.342451;630.5618588;3.192212084;-0.089751984;0.880062809;0.560611478;0.99916225;2.282634814;1.644469904;2.445720023;1.69924743;0.971391057;0.932278864;0.561909775;22.41547152;3.025169543;0.559049729;0.287451563;0.011748232;3.863775649;0.943001339;34.89356506;0.519586033;19.55377196;454.0396467;1.600244112;2.16155965;3.863775649;0.665548485;0.347216688;0.772496545;0.437687446;0.015403117;-0.089754579;0.02341442;-0.025922962;0.011391861;-0.013317657;0.006439083;-0.000694878;0.004105585;-0.003700529;-0.000308245;-0.000132475;0.002611328;0.001220356;0.022322133;-0.003234495;-0.004955093;-0.002041984;0.000306252;0.000777414;-0.002237885;0.451594882;0.129735625;0.024031434;0.002508962;0.000654782;-0.001786854;0.002181903;-0.00163802
E12_2102;1;913.2423798;578.6598359;834295;854381.5;4009.443143;535.7635174;339.6961994;806.3285681;120.4316813;1071.527035;679.3923988;1612.657136;464.0639373;293.5758502;1488.476402;1484.955982;841.0104175;2.373675565;-0.000984068;0.774462842;0.652170855;1.002370724;1.765680842;1.496908708;2.693655833;1.723775178;0.976490011;0.891237298;0.433646231;19.2685253;4.448692502;0.650826326;0.434528646;0.013699685;2.478351276;0.968439735;40.26379098;0.593993934;19.43298318;471.691759;1.625261646;2.084113388;2.478351276;0.587256948;0.439384068;0.831102428;0.395631153;0.017703502;-0.080784029;0.030049891;-0.021183653;0.012264086;-0.010286608;0.009879176;-0.005639794;0.010093408;-0.01322664;0.001131198;-0.006316966;0.005905163;-0.000267208;0.039753313;-0.016395383;0.00116922;-0.005929139;-0.0033939;-0.001775738;-0.000148659;0.617233779;0.099259682;0.008677565;0.007797085;0.000880185;5.02E-05;0.006719933;-0.001132145
E12_2103;1;938.7337648;609.8501677;506166;516909;3363.816593;441.4471355;230.8478594;722.3596225;149.617526;882.894271;461.6957188;1444.719245;423.8077328;194.0114453;1391.103878;1391.839739;567.3075351;3.129158851;0.013171567;0.889064604;0.562131881;0.999471304;2.453413101;1.559964857;2.418091593;1.716979952;0.979216845;0.938626778;0.592404557;22.3548442;2.950504178;0.560482687;0.263628125;0.014648598;2.608936149;0.941277464;23.21409619;0.573242044;21.59841246;488.8337085;1.533860139;2.012972713;2.608936149;0.599405301;0.380077173;0.781809613;0.494507951;-0.009259671;0.090370978;-0.02032986;0.026628516;-0.009731972;0.014247689;-0.00486277;0.004650641;0.001351406;0.001451382;0.00014205;0.00249619;0.000269369;0.00082595;-0.004489492;-0.002189235;-0.001044607;0.002637216;0.000143944;-0.002075546;0.000639817;-0.434891265;-0.112834226;-0.027410087;-0.004675093;-0.003941709;0.000453793;-0.005015412;0.002475588
E12_2104;1;900.1794704;490.1283257;585396;596066;3311.588237;451.8922205;297.6846452;680.5436398;109.3450899;903.784441;595.3692904;1361.08728;398.3238557;239.7849373;1281.62592;1284.510826;702.8346184;2.28612275;-0.076900275;0.798507488;0.670790575;0.997754082;1.827614623;1.542201648;2.583896116;1.666337499;0.982099298;0.933652813;0.452838696;18.733672;4.132716166;0.669165152;0.30489375;0.020015466;1.958672533;0.956510824;23.51908088;0.608393468;19.57471549;414.6071641;1.505694679;1.930435287;1.958672533;0.550101804;0.407383388;0.792181995;0.433257332;0.020520648;-0.075425356;0.029096289;-0.022435355;0.010044599;-0.0115408;0.00674589;2.53E-05;0.002722224;-0.00272895;0.004047328;-0.000873719;0.002781845;-0.001894608;0.010254614;-0.010350403;0.001911212;-0.004895502;0.001455718;0.001991834;0.001428686;0.582027486;0.116243346;0.011771352;-0.005213095;0.003903002;-0.004241691;0.001095632;-0.002196321
E12_2105;1;910.3879659;508.5919761;603723;615789;3597.380085;476.7278719;262.4861579;769.6487485;150.6397961;953.4557439;524.9723157;1539.297497;449.3235054;219.2327742;1465.994884;1468.221554;640.5302575;2.93214985;0.038286214;0.872889783;0.586239306;0.998483424;2.29219703;1.557734805;2.45388311;1.705928628;0.980405626;0.933509076;0.563737328;21.43556478;3.164687448;0.584706033;0.314439063;0.020760369;1.683191956;0.946558486;16.74798166;0.630533278;20.25501158;414.8037398;1.453548734;1.848843936;1.683191956;0.527475751;0.409477439;0.783621918;0.516090318;-0.01064523;0.087138256;-0.021771552;0.026136671;-0.009674533;0.014469884;-0.006238255;0.001714042;0.002197922;-0.002211455;-0.000305383;-0.000788815;-0.001371855;-0.00182552;0.008442677;-0.002094168;0.001148571;0.004400503;0.001849436;0.000586522;0.000570049;-0.466701935;-0.114829453;-0.021908459;-0.003820792;-0.001731384;-0.001088433;-0.003473246;0.000758802
E12_2106;1;970.9809407;682.8579301;545826;568118;3522.004543;463.1332923;227.0846549;777.5503361;151.3470843;926.2665846;454.1693098;1555.100672;443.1678894;202.4670558;1457.900545;1459.457152;614.9361681;3.424054948;0.511131892;0.889537019;0.552947959;0.998933434;2.373347394;1.644247413;2.415805766;1.697847997;0.960761673;0.918457876;0.578654182;22.72613617;3.060074096;0.551440037;0.284284375;0.050756308;1.505455482;0.957228632;18.59887009;0.682023032;9.541388299;136.9574468;1.291090008;1.624690779;1.505455482;0.49904054;0.400873873;0.746598776;0.596792273;0.008248102;0.088033702;0.017695601;0.028877518;0.012101712;0.013301942;0.005590617;0.002781315;0.000161919;-0.00087358;0.000581176;-4.85E-05;-0.002330445;-0.002613901;0.036687463;0.018630096;0.004210101;0.008393396;0.005987025;0.000772231;0.001146927;-0.440780768;0.122018561;-0.019594733;0.006004684;-0.002680256;-0.001608092;-0.003370562;-0.000635337
E12_2107;1;928.5965499;551.2633951;789787;808277.5;4036.982248;547.6418787;324.8259426;879.6280262;156.6050875;1095.283757;649.6518851;1759.256052;510.1888087;253.2529152;1658.18274;1662.991074;766.0009592;2.707998072;0.604006861;0.868099302;0.608984397;0.997108623;2.171003906;1.612906718;2.434582239;1.661998966;0.977123575;0.931630867;0.539383602;20.63496319;3.496960971;0.607655836;0.411347396;0.049071034;0.977996747;0.951918777;11.17025654;0.725935192;11.95296203;152.9532944;1.311051251;1.583813886;0.977996747;0.435921202;0.459780588;0.782094321;0.606661071;0.016551913;0.087657301;0.020327693;0.028319433;0.007922915;0.015639944;0.005535162;0.001543684;-0.001950499;0.002414712;0.000224941;0.002662307;2.76E-05;0.00058806;-0.007503717;-0.006770008;-0.006307258;-0.00399414;0.000162678;-0.003098721;-0.002110106;-0.499189843;0.105303458;-0.00834586;0.000170432;0.002503431;0.003436242;-0.000742392;-0.000172285
