epoca;gen;ap;ac;nc;ng;areac;nr;mc;rgpla;icc;ngcap;mmg
E3;G153;75;54;18;71;0.279454976;2;0.5;0.29;0.58;3.944444444;4.084507042
E3;G154;73;47;15;72;0.266279931;0;0.51;0.34;0.666666667;4.8;4.722222222
E3;G155;76;45;19;107;0.316338703;0;0.78;0.49;0.628205128;5.631578947;4.579439252
E3;G156;78;65;10;39;0.292753285;0;0.28;0.18;0.642857143;3.9;4.615384615
E3;G157;79;64;13;93;0.317001624;0;0.54;0.38;0.703703704;7.153846154;4.086021505
E3;G158;82;72;8;47;0.308450506;0;0.27;0.21;0.777777778;5.875;4.468085106
E3;G159;70;56;7;37;0.359481596;0;0.24;0.18;0.75;5.285714286;4.864864865
E4;G160;90;72;17;74;0.321118281;0;0.54;0.34;0.62962963;4.352941176;4.594594595
E4;G161;79;66;36;161;0.306343711;1;0.83;0.72;0.86746988;4.472222222;4.472049689
E4;G162;63;53;16;60;0.297681409;2;0.46;0.22;0.47826087;3.75;3.666666667
E4;G163;66;56;16;97;0.302865002;2;0.58;0.37;0.637931034;6.0625;3.81443299
E4;G164;76;64;16;68;0.283505122;1;0.46;0.21;0.456521739;4.25;3.088235294
E4;G165;64;59;5;21;0.349302585;0;0.18;0.1;0.555555556;4.2;4.761904762
E4;G166;80;71;10;49;0.299422006;0;0.33;0.16;0.484848485;4.9;3.265306122
E4;G167;82;70;20;81;0.330728203;0;0.65;0.35;0.538461538;4.05;4.320987654
E4;G168;69;57;12;67;0.320608828;0;0.35;0.24;0.685714286;5.583333333;3.582089552
E4;G169;79;71;17;80;0.32067914;0;0.5;0.34;0.68;4.705882353;4.25
E4;G170;85;73;25;178;0.29437508;0;1.02;0.56;0.549019608;7.12;3.146067416
E4;G171;74;62;12;61;0.300211892;0;0.39;0.26;0.666666667;5.083333333;4.262295082
E4;G172;61;50;2;7;0.300471546;0;0.06;0.02;0.333333333;3.5;2.857142857
E4;G173;67;57;8;34;0.291103485;0;0.22;0.14;0.636363636;4.25;4.117647059
E4;G174;70;59;17;85;0.292015119;0;0.46;0.34;0.739130435;5;4
E4;G175;66;62;21;101;0.271245852;1;0.51;0.32;0.62745098;4.80952381;3.168316832
E4;G176;72;62;4;11;0.26800729;0;0.03;0.01;0.333333333;2.75;0.909090909
E4;G177;82;62;40;213;0.274764903;2;1.2;0.78;0.65;5.325;3.661971831
E4;G178;78;65;16;73;0.221751723;0;0.4;0.28;0.7;4.5625;3.835616438
E4;G179;61;55;7;27;0.30321349;0;0.22;0.1;0.454545455;3.857142857;3.703703704
E4;G180;69;65;7;30;0.26965773;0;0.2;0.15;0.75;4.285714286;5
E4;G181;82;71;11;35;0.284376123;0;0.26;0.13;0.5;3.181818182;3.714285714
E4;G182;66;59;10;39;0.257146017;0;0.18;0.11;0.611111111;3.9;2.820512821
E4;G183;71;65;10;54;0.260548282;0;0.26;0.19;0.730769231;5.4;3.518518519
E4;G184;72;58;6;35;0.271765543;0;0.18;0.12;0.666666667;5.833333333;3.428571429
E4;G185;60;49;18;67;0.283697579;1;0.37;0.29;0.783783784;3.722222222;4.328358209
E4;G186;61;56;9;27;0.29171059;0;0.17;0.11;0.647058824;3;4.074074074
E4;G187;54;44;4;17;0.229786687;0;0.1;0.06;0.6;4.25;3.529411765
E4;G188;66;61;25;72;0.303032726;2;0.55;0.31;0.563636364;2.88;4.305555556
E4;G189;65;57;2;4;0.275285978;0;0.04;0.05;1.25;2;12.5
